# p ,r
1.044641194492383369e-04 3.460069201384028022e-03
1.056696580758408033e-04 3.480069601392027888e-03
1.068820480552307042e-04 3.500070001400028188e-03
1.081012882833223718e-04 3.520070401408028488e-03
1.093273776561523819e-04 3.540070801416028354e-03
1.105603150706127867e-04 3.560071201424028654e-03
1.118000994227401622e-04 3.580071601432028953e-03
1.130467296095487772e-04 3.600072001440028820e-03
1.143002045274418442e-04 3.620072401448029119e-03
1.155605230735558486e-04 3.640072801456029419e-03
1.168276841445384500e-04 3.660073201464029286e-03
1.181016866378927567e-04 3.680073601472029585e-03
1.193825294508774981e-04 3.700074001480029885e-03
1.206702114808735796e-04 3.720074401488029751e-03
1.219647316253841637e-04 3.740074801496030051e-03
1.232660887820345621e-04 3.760075201504030351e-03
1.245742818485723845e-04 3.780075601512030217e-03
1.258893097232340530e-04 3.800076001520030517e-03
1.272111713041337324e-04 3.820076401528030817e-03
1.285398654890190459e-04 3.840076801536030683e-03
1.298753911767374313e-04 3.860077201544030983e-03
1.312177472654031619e-04 3.880077601552031283e-03
1.325669326536192422e-04 3.900078001560031583e-03
1.339229462404776519e-04 3.920078401568031883e-03
1.352857869247036391e-04 3.940078801576031749e-03
1.366554536051447230e-04 3.960079201584031615e-03
1.380319451811372355e-04 3.980079601592032348e-03
1.394152605518953186e-04 4.000080001600032215e-03
1.408053986167553582e-04 4.020080401608032081e-03
1.422023582750536860e-04 4.040080801616032814e-03
1.436061384268599340e-04 4.060081201624032680e-03
1.450167379719993278e-04 4.080081601632032547e-03
1.464341558101748761e-04 4.100082001640033280e-03
1.478583908414561837e-04 4.120082401648033146e-03
1.492894419661573702e-04 4.140082801656033012e-03
1.507273080842258235e-04 4.160083201664033746e-03
1.521719880967089362e-04 4.180083601672033612e-03
1.536234809040429631e-04 4.200084001680033478e-03
1.550817854067864027e-04 4.220084401688034212e-03
1.565469005059866206e-04 4.240084801696034078e-03
1.580188251023243590e-04 4.260085201704033944e-03
1.594975580969691458e-04 4.280085601712034678e-03
1.609830983915794299e-04 4.300086001720034544e-03
1.624754448873247663e-04 4.320086401728034410e-03
1.639745964856191974e-04 4.340086801736035144e-03
1.654805520883655514e-04 4.360087201744035010e-03
1.669933105971000602e-04 4.380087601752034876e-03
1.685128709136033353e-04 4.400088001760035609e-03
1.700392319402671255e-04 4.420088401768035476e-03
1.715723925793609362e-04 4.440088801776035342e-03
1.731123517327875952e-04 4.460089201784036075e-03
1.746591083034276912e-04 4.480089601792035942e-03
1.762126611934285397e-04 4.500090001800035808e-03
1.777730093055484586e-04 4.520090401808036541e-03
1.793401515431569031e-04 4.540090801816036407e-03
1.809140868087678118e-04 4.560091201824036274e-03
1.824948140055061797e-04 4.580091601832037007e-03
1.840823320367414079e-04 4.600092001840036873e-03
1.856766398059651955e-04 4.620092401848037607e-03
1.872777362163025375e-04 4.640092801856037473e-03
1.888856201713672413e-04 4.660093201864037339e-03
1.905002905756287396e-04 4.680093601872038073e-03
1.921217463323342169e-04 4.700094001880037939e-03
1.937499863457086183e-04 4.720094401888037805e-03
1.953850095199768618e-04 4.740094801896038539e-03
1.970268147592416758e-04 4.760095201904038405e-03
1.986754009679724117e-04 4.780095601912038271e-03
2.003307670510051251e-04 4.800096001920039004e-03
2.019929119128091133e-04 4.820096401928038871e-03
2.036618344583426214e-04 4.840096801936038737e-03
2.053375335923194613e-04 4.860097201944039470e-03
2.070200082199422575e-04 4.880097601952039336e-03
2.087092572461692551e-04 4.900098001960039203e-03
2.104052795770585684e-04 4.920098401968039936e-03
2.121080741175684697e-04 4.940098801976039802e-03
2.138176397733904230e-04 4.960099201984039669e-03
2.155339754503381633e-04 4.980099601992040402e-03
2.172570800542254256e-04 5.000100002000040268e-03
2.189869524908659177e-04 5.020100402008040134e-03
2.207235916666844310e-04 5.040100802016040868e-03
2.224669964881057838e-04 5.060101202024040734e-03
2.242171658611881175e-04 5.080101602032040600e-03
2.259740986924784129e-04 5.100102002040041334e-03
2.277377938890125719e-04 5.120102402048041200e-03
2.295082503569709524e-04 5.140102802056041066e-03
2.312854670037560792e-04 5.160103202064041800e-03
2.330694427365259897e-04 5.180103602072041666e-03
2.348601764621943689e-04 5.200104002080041532e-03
2.366576670881637146e-04 5.220104402088042266e-03
2.384619135217143349e-04 5.240104802096042132e-03
2.402729146708598110e-04 5.260105202104041998e-03
2.420906694427582345e-04 5.280105602112042731e-03
2.439151767457898093e-04 5.300106002120042598e-03
2.457464354876014666e-04 5.320106402128042464e-03
2.475844445765734919e-04 5.340106802136043197e-03
2.494292029207194122e-04 5.360107202144043063e-03
2.512807094285416753e-04 5.380107602152042930e-03
2.531389630082982959e-04 5.400108002160043663e-03
2.550039625691027782e-04 5.420108402168043529e-03
2.568757070194576243e-04 5.440108802176043395e-03
2.587541952682318510e-04 5.460109202184044129e-03
2.606394262245389625e-04 5.480109602192043995e-03
2.625313987974925174e-04 5.500110002200043861e-03
2.644301118962060740e-04 5.520110402208044595e-03
2.663355644306485180e-04 5.540110802216044461e-03
2.682477553098112726e-04 5.560111202224044327e-03
2.701666834437854671e-04 5.580111602232045061e-03
2.720923477421735267e-04 5.600112002240044927e-03
2.740247471150666892e-04 5.620112402248044793e-03
2.759638804720672715e-04 5.640112802256045527e-03
2.779097467242442991e-04 5.660113202264045393e-03
2.798623447813223327e-04 5.680113602272046126e-03
2.818216735540036121e-04 5.700114002280045992e-03
2.837877319528682961e-04 5.720114402288045859e-03
2.857605188886186247e-04 5.740114802296046592e-03
2.877400332719570004e-04 5.760115202304046458e-03
2.897262740143188549e-04 5.780115602312046325e-03
2.917192400266510784e-04 5.800116002320047058e-03
2.937189302199003441e-04 5.820116402328046924e-03
2.957253435061132484e-04 5.840116802336046790e-03
2.977384787962366274e-04 5.860117202344047524e-03
2.997583350019504002e-04 5.880117602352047390e-03
3.017849110354235156e-04 5.900118002360047256e-03
3.038182058083359468e-04 5.920118402368047990e-03
3.058582182328565885e-04 5.940118802376047856e-03
3.079049472211543349e-04 5.960119202384047722e-03
3.099583916855202701e-04 5.980119602392048456e-03
3.120185505382454239e-04 6.000120002400048322e-03
3.140854226918654221e-04 6.020120402408048188e-03
3.161590070596489738e-04 6.040120802416048922e-03
3.182393025538871631e-04 6.060121202424048788e-03
3.203263080877266720e-04 6.080121602432048654e-03
3.224200225741918305e-04 6.100122002440049387e-03
3.245204449266736457e-04 6.120122402448049254e-03
3.266275740581965560e-04 6.140122802456049120e-03
3.287414088827625164e-04 6.160123202464049853e-03
3.308619483137626967e-04 6.180123602472049719e-03
3.329891912648324831e-04 6.200124002480049586e-03
3.351231366499739391e-04 6.220124402488050319e-03
3.372637833831892366e-04 6.240124802496050185e-03
