# p ,r
1.307297196980300143e-04 7.140142802856057173e-03
1.314596419353896946e-04 7.160143202864057907e-03
1.321915768428864814e-04 7.180143602872057773e-03
1.329255242612225609e-04 7.200144002880057639e-03
1.336614840276602442e-04 7.220144402888058373e-03
1.343994559829556296e-04 7.240144802896058239e-03
1.351394399666972109e-04 7.260145202904058105e-03
1.358814358196500582e-04 7.280145602912058839e-03
1.366254433791528374e-04 7.300146002920058705e-03
1.373714624859975341e-04 7.320146402928058571e-03
1.381194929809896588e-04 7.340146802936059305e-03
1.388695347015037919e-04 7.360147202944059171e-03
1.396215874883813041e-04 7.380147602952059037e-03
1.403756511813185402e-04 7.400148002960059770e-03
1.411317256211882588e-04 7.420148402968059637e-03
1.418898106454145067e-04 7.440148802976059503e-03
1.426499060948925666e-04 7.460149202984060236e-03
1.434120118105401643e-04 7.480149602992060102e-03
1.441761276298217332e-04 7.500150003000059969e-03
1.449422533936819415e-04 7.520150403008060702e-03
1.457103889419248495e-04 7.540150803016060568e-03
1.464805341155040971e-04 7.560151203024060435e-03
1.472526887519649721e-04 7.580151603032061168e-03
1.480268526922925564e-04 7.600152003040061034e-03
1.488030257775079001e-04 7.620152403048060900e-03
1.495812078451741532e-04 7.640152803056061634e-03
1.503613987363348631e-04 7.660153203064061500e-03
1.511435982920379412e-04 7.680153603072061366e-03
1.519278063499050302e-04 7.700154003080062100e-03
1.527140227510199826e-04 7.720154403088061966e-03
1.535022473353215980e-04 7.740154803096062699e-03
1.542924799439206987e-04 7.760155203104062566e-03
1.550847204145062563e-04 7.780155603112062432e-03
1.558789685881890928e-04 7.800156003120063165e-03
1.566752243061518860e-04 7.820156403128062164e-03
1.574734874060791082e-04 7.840156803136063765e-03
1.582737577291759340e-04 7.860157203144063631e-03
1.590760351154978504e-04 7.880157603152063497e-03
1.598803194062230627e-04 7.900158003160063364e-03
1.606866104391528117e-04 7.920158403168063230e-03
1.614949080555056892e-04 7.940158803176063096e-03
1.623052120965452272e-04 7.960159203184064697e-03
1.631175224000950825e-04 7.980159603192064563e-03
1.639318388074188142e-04 8.000160003200064429e-03
1.647481611586841782e-04 8.020160403208064295e-03
1.655664892951906478e-04 8.040160803216064161e-03
1.663868230547977940e-04 8.060161203224064028e-03
1.672091622788590020e-04 8.080161603232065629e-03
1.680335068087365205e-04 8.100162003240065495e-03
1.688598564823438864e-04 8.120162403248065361e-03
1.696882111410434027e-04 8.140162803256065227e-03
1.705185706251016503e-04 8.160163203264065093e-03
1.713509347759169005e-04 8.180163603272064959e-03
1.721853034314654656e-04 8.200164003280066560e-03
1.730216764331905300e-04 8.220164403288066426e-03
1.738600536225441955e-04 8.240164803296066293e-03
1.747004348375387429e-04 8.260165203304066159e-03
1.755428199196712414e-04 8.280165603312066025e-03
1.763872087104027917e-04 8.300166003320067626e-03
1.772336010478354465e-04 8.320166403328067492e-03
1.780819967734663021e-04 8.340166803336067358e-03
1.789323957276966245e-04 8.360167203344067224e-03
1.797847977520683959e-04 8.380167603352067091e-03
1.806392026847106387e-04 8.400168003360066957e-03
1.814956103671922232e-04 8.420168403368068558e-03
1.823540206411179612e-04 8.440168803376068424e-03
1.832144333446528433e-04 8.460169203384068290e-03
1.840768483194106530e-04 8.480169603392068156e-03
1.849412654058735380e-04 8.500170003400068022e-03
1.858076844457181383e-04 8.520170403408067888e-03
1.866761052771184434e-04 8.540170803416069489e-03
1.875465277418139501e-04 8.560171203424069356e-03
1.884189516814543833e-04 8.580171603432069222e-03
1.892933769343214750e-04 8.600172003440069088e-03
1.901698033421278067e-04 8.620172403448068954e-03
1.910482307454722673e-04 8.640172803456068820e-03
1.919286589860854633e-04 8.660173203464070421e-03
1.928110879023119020e-04 8.680173603472070287e-03
1.936955173359181310e-04 8.700174003480070153e-03
1.945819471286975590e-04 8.720174403488070020e-03
1.954703771190216901e-04 8.740174803496069886e-03
1.963608071487109026e-04 8.760175203504069752e-03
1.972532370584269691e-04 8.780175603512071353e-03
1.981476666900621234e-04 8.800176003520071219e-03
1.990440958820058402e-04 8.820176403528071085e-03
1.999425244761413815e-04 8.840176803536070951e-03
2.008429523143788974e-04 8.860177203544070818e-03
2.017453792351618018e-04 8.880177603552070684e-03
2.026498050804092165e-04 8.900178003560072285e-03
2.035562296920672603e-04 8.920178403568072151e-03
2.044646529086601740e-04 8.940178803576072017e-03
2.053750745721160786e-04 8.960179203584071883e-03
2.062874945232853437e-04 8.980179603592071749e-03
2.072019126041590011e-04 9.000180003600071615e-03
2.081183286532792352e-04 9.020180403608073216e-03
2.090367425126999344e-04 9.040180803616073082e-03
2.099571540244390185e-04 9.060181203624072949e-03
2.108795630271015559e-04 9.080181603632072815e-03
2.118039693627503796e-04 9.100182003640072681e-03
2.127303728723167677e-04 9.120182403648072547e-03
2.136587733978814968e-04 9.140182803656074148e-03
2.145891707781394614e-04 9.160183203664074014e-03
2.155215648551804097e-04 9.180183603672073880e-03
2.164559554711481103e-04 9.200184003680073747e-03
2.173923424647463483e-04 9.220184403688073613e-03
2.183307256781278369e-04 9.240184803696075214e-03
2.192711049523405145e-04 9.260185203704075080e-03
2.202134801295730358e-04 9.280185603712074946e-03
2.211578510485650998e-04 9.300186003720074812e-03
2.221042175515772167e-04 9.320186403728074678e-03
2.230525794808069315e-04 9.340186803736074544e-03
2.240029366750569085e-04 9.360187203744076145e-03
2.249552889766055471e-04 9.380187603752076012e-03
2.259096362265816400e-04 9.400188003760075878e-03
2.268659782672816116e-04 9.420188403768075744e-03
2.278243149375439860e-04 9.440188803776075610e-03
2.287846460797100464e-04 9.460189203784075476e-03
2.297469715360851619e-04 9.480189603792077077e-03
2.307112911456066814e-04 9.500190003800076943e-03
2.316776047506249143e-04 9.520190403808076809e-03
2.326459121934990331e-04 9.540190803816076676e-03
2.336162133131844388e-04 9.560191203824076542e-03
2.345885079520941888e-04 9.580191603832076408e-03
2.355627959514828976e-04 9.600192003840078009e-03
2.365390771537995910e-04 9.620192403848077875e-03
2.375173513980355030e-04 9.640192803856077741e-03
2.384976185266576842e-04 9.660193203864077607e-03
2.394798783821421029e-04 9.680193603872077474e-03
2.404641308035159884e-04 9.700194003880077340e-03
2.414503756333001951e-04 9.720194403888078941e-03
2.424386127128660517e-04 9.740194803896078807e-03
2.434288418847344667e-04 9.760195203904078673e-03
2.444210629880134425e-04 9.780195603912078539e-03
2.454152758652688006e-04 9.800196003920078405e-03
2.464114803590574179e-04 9.820196403928078271e-03
2.474096763085321016e-04 9.840196803936079872e-03
2.484098635562946686e-04 9.860197203944079739e-03
2.494120419438241904e-04 9.880197603952079605e-03
2.504162113137314285e-04 9.900198003960079471e-03
2.514223715052410729e-04 9.920198403968079337e-03
2.524305223609907734e-04 9.940198803976079203e-03
2.534406637236542295e-04 9.960199203984080804e-03
2.544527954324920724e-04 9.980199603992080670e-03
2.554669173301958368e-04 1.000020000400008054e-02
2.564830292583344202e-04 1.002020040400808040e-02
2.575011310596353529e-04 1.004020080401608027e-02
2.585212225733952074e-04 1.006020120402408013e-02
2.595433036423684561e-04 1.008020160403208174e-02
2.605673741093453505e-04 1.010020200404008160e-02
2.615934338136585669e-04 1.012020240404808147e-02
2.626214825980983025e-04 1.014020280405608133e-02
2.636515203054999655e-04 1.016020320406408120e-02
2.646835467752229037e-04 1.018020360407208107e-02
2.657175618501204689e-04 1.020020400408008267e-02
2.667535653719231049e-04 1.022020440408808253e-02
2.677915571834751105e-04 1.024020480409608240e-02
2.688315371242168232e-04 1.026020520410408227e-02
2.698735050370642619e-04 1.028020560411208213e-02
2.709174607649156102e-04 1.030020600412008373e-02
2.719634041472560374e-04 1.032020640412808360e-02
2.730113350270466110e-04 1.034020680413608347e-02
2.740612532460717137e-04 1.036020720414408333e-02
2.751131586473193552e-04 1.038020760415208320e-02
2.761670510703195911e-04 1.040020800416008306e-02
2.772229303580514320e-04 1.042020840416808466e-02
2.782807963535566644e-04 1.044020880417608453e-02
2.793406488964103379e-04 1.046020920418408440e-02
2.804024878296542929e-04 1.048020960419208426e-02
2.814663129951897351e-04 1.050021000420008413e-02
2.825321242360854471e-04 1.052021040420808400e-02
2.835999213919703638e-04 1.054021080421608560e-02
2.846697043059670984e-04 1.056021120422408546e-02
2.857414728211623775e-04 1.058021160423208533e-02
2.868152267772480736e-04 1.060021200424008520e-02
2.878909660173557448e-04 1.062021240424808506e-02
2.889686903835034194e-04 1.064021280425608493e-02
2.900483997188495981e-04 1.066021320426408653e-02
2.911300938631310935e-04 1.068021360427208639e-02
2.922137726595423475e-04 1.070021400428008626e-02
